NO;BUMN;Company;Status;Year;debt to equity t-1;equity minus t-1;solvability t-1 (total liabilities/total assets);kenaikan (penurunan) revenue (revenue t-1-revenue t-2/revenue t-2);net profit margin t-1 (laba bersih/penjualan);Jenis Perusahaan (apakah PT);ROA t-1 (net income/assets);Likuiditas t-1 (current assets/current liabilities);debt to equity t-2;solvability t-2 (total liabilities/total assets);net profit margin t-2 (laba bersih/penjualan);ROA t-2 (net income/assets);Likuiditas t-2 (current assets/current liabilities)2;asset turnover penjualan/total aset (t-1);asset turnover penjualan/total aset (t-2);PMN_Portion;PSO_Portion;SLA_Portion;Guarantee_Portion
177;PT Industri Sandang Nusantara (Persero);PT Industri Sandang Nusantara (Persero);Untung;2020;2.233214144;0;0.690710248;-0.391014996;-0.073805676;1;-0.024268862;1.607422685;1.725211317;0.633055979;0.002109705;0.001096209;1.664348754;0.32882108;0.519603128;0;0;0;0
178;PT Primissima (Persero);PT Primissima (Persero);Rugi;2020;2.61802906;0;0.723606421;-0.127191236;-0.073860928;1;-0.059256467;2.240569669;3.525050763;0.779008004;0.006199956;0.005442099;1.579703879;0.802270815;0.877764096;0;0;0;0
179;PT Survai Udara Penas (Persero);PT Survai Udara Penas (Persero);Untung;2020;-2.027718241;1;1.973029338;-0.736752932;-0.452648702;1;-0.050177975;1.470753935;-2.201821921;1.832070029;0.040253212;0.01528693;1.308955889;0.110854123;0.379769211;0;0;0;0
180;PT Varuna Tirta Prakasya (Persero);PT Varuna Tirta Prakasya (Persero);Untung;2020;0.449530379;0;0.310121392;-0.123713867;-0.0187422;1;-0.00782045;0.948002018;-69.60731949;1.014575704;-0.041803634;-0.095888239;0.872399393;0.417264249;2.293777573;0;0;0;0
181;PT Kertas Kraft Aceh (Persero);PT Kertas Kraft Aceh (Persero);Rugi;2020;-1.751712147;1;2.33029645;-0.85576305;-2.851298727;1;-0.088084097;32.13879794;-1.886669669;2.12781573;-0.434963375;-0.085539209;15.04170405;0.030892623;0.196658418;0;0;0;0
184;Perum Perhutani;Perum Perhutani;Untung;2019;0.362006128;0;0.249444928;0.481588487;0.121966226;0;0.04074137;0.297821658;1.625560794;0.619128987;0.112181123;0.099573004;0.367172729;0.334038128;0.887609263;0;0;0;0
185;Perum Perikanan indonesia;Perum Perikanan indonesia;Untung;2019;1.191535323;0;0.54369889;0.662178163;0.02593557;0;0.028534735;0.447833721;1.012129614;0.503014123;0.013075808;0.009841144;0.29978776;1.100216239;0.752622225;0;0;0;0
186;PT Rajawali Nusantara Indonesia (Persero);PT Rajawali Nusantara Indonesia (Persero);Rugi;2019;1.201251243;0;0.54571292;0.005776227;0.03630256;1;0.014025864;0.891558896;1.04747858;0.511594445;0.068513118;0.029425008;0.939345134;0.386360186;0.429479922;0;0;0;0
187;PT Perikanan Nusantara (Persero);PT Perikanan Nusantara (Persero);Rugi;2019;0.777522529;0;0.437419226;0.53670534;0.024278748;1;0.016917456;0.199537648;0.834424501;0.454869906;0.038305255;0.017278502;0.542679677;0.696800997;0.451073917;0;0;0;0
188;PT Perkebunan Nusantara III (Persero);PT Perkebunan Nusantara III (Persero);Untung;2019;1.211238994;0;0.547764849;-0.055707863;0.027452985;1;0.007357915;1.577825018;1.172338894;0.539666669;0.035117357;0.010839715;1.481371907;0.268018765;0.308671155;0;0;0;0
189;Perum Bulog;Perum Bulog;Rugi;2019;3.020344601;0;0.751265103;-0.135130524;-0.033822105;0;-0.022139082;0.899466615;1.521809054;0.603459271;0.02527338;0.028305978;0.703885891;0.65457435;1.119991791;0;0;0;0
190;Perum Jasa Tirta  I;Perum Jasa Tirta I;Untung;2019;0.190016512;0;0.159675526;-0.051927902;0.227175297;0;0.131289201;0.225606185;0.219623678;0.180074954;0.233357679;0.162291691;0.245665487;0.577920235;0.695463254;0;0;0;0
191;Perum Jasa Tirta  II;Perum Jasa Tirta II;Untung;2019;0.225541321;0;0.18403404;-0.003807168;0.201801234;0;0.126516853;0.216878712;0.330937591;0.248649969;0.210633522;0.153944524;0.212672776;0.626937953;0.730864311;0;0;0;0
192;PT Pupuk Indonesia (Persero);PT Pupuk Indonesia (Persero);Untung;2019;1.103741179;0;0.524656355;0.178231625;0.060669407;1;0.030333128;0.425421646;1.052402577;0.512766155;0.052176045;0.023935273;0.760760926;0.499974029;0.458740661;0;0;0;0
193;PT BioFarma (Persero);PT BioFarma (Persero);Untung;2019;0.241213959;0;0.19433713;0.074264894;0.167909805;1;0.073397423;0.311591476;0.141504288;0.123962993;0.174445829;0.081457501;0.295076542;0.437124104;0.466950122;0;0;0;0
194;PT Kimia Farma (Persero) Tbk;PT Kimia Farma (Persero) Tbk;Untung;2019;1.818573681;0;0.645210623;0.216506005;0.053902308;1;0.042471022;0.702909258;1.369717876;0.578008838;0.054134498;0.054412712;0.647036801;0.787925852;1.00513931;0;0;0;0
195;PT Berdikari (Persero);PT Berdikari (Persero);Untung;2019;5.310641502;0;0.841537505;11.14511637;0.021083738;1;0.043473332;0.984929264;7.776198632;0.88605545;1.681529446;0.285133263;1.04367027;2.061936633;0.169567808;0;0;0;0
196;PT Sang Hyang Seri (Persero);PT Sang Hyang Seri (Persero);Rugi;2019;-1.400741258;1;3.495375708;-0.661185197;-1.055479424;1;-0.325792162;3.075736361;-1.589838631;2.695378953;0.029436944;0.020997265;1.715838105;0.308667469;0.713296358;0;0;0;0
197;PT Pertani (Persero);PT Pertani (Persero);Rugi;2019;2.775984291;0;0.73516839;0.017753619;-0.046855558;1;-0.06739646;0.366510476;2.52127717;0.716012131;0.014649735;0.017771526;0.330098082;1.438387716;1.213095358;0;0;0;0
198;PT Garam (Persero);PT Garam (Persero);Untung;2019;0.208353381;0;0.172427523;-0.151556184;0.355036429;1;0.127039856;0.185674088;0.263137007;0.208320242;0.397824352;0.168106629;0.490801018;0.357822032;0.422564955;0;0;0;0
199;PT Indofarma (Persero) Tbk;PT Indofarma (Persero) Tbk;Rugi;2019;1.9041754;0;0.65566818;-0.023500644;-0.020550164;1;-0.022696294;0.953595015;1.906242283;0.655913065;-0.028372781;-0.030254106;0.959512644;1.104433737;1.066307378;0;0;0;0
200;PT Pertamina (Persero);PT Pertamina (Persero);Untung;2019;1.24044609;0;0.553660316;0.389100669;0.017146526;1;0.014913752;0.603470626;1.149450561;0.534764829;0.05941944;0.04923928;0.544750082;0.869782677;0.828672904;0;0;0.018708179;0
201;PT TWC BP dan RB (Persero);PT TWC BP dan RB (Persero);Untung;2019;0.175386489;0;0.149216016;0.147412426;0.300809217;1;0.19692265;0.278422562;0.244375298;0.196383919;0.289544584;0.199349567;0.324412942;0.654643006;0.688493511;0;0;0;0
202;PT Energy Management Indonesia (Persero);PT Energy Management Indonesia (Persero);Untung;2019;1.477579602;0;0.596380274;-0.252347499;0.351474556;1;0.09576558;0.868810189;1.846802879;0.648719327;0.071885651;0.030030074;0.277875394;0.27246803;0.417747817;0;0;0;0
203;PT Hotel Indonesia Natour (Persero);PT Hotel Indonesia Natour (Persero);Untung;2019;0.147768356;0;0.128744058;0.168922129;0.024960253;1;0.001791792;1.121313297;0.154901964;0.134125653;1.5055E-05;9.19836E-07;1.024358351;0.071785795;0.061098355;0;0;0;0
204;PT Pengembangan Pariwisata Indonesia (Persero);PT Pengembangan Pariwisata Indonesia (Persero);Untung;2019;0.233189707;0;0.189094756;0.176272906;0.252025423;1;0.039548469;0.537110871;0.225743989;0.184168955;0.256476652;0.036116401;0.372404009;0.156922539;0.1408175;0;0;0;0
205;PT Sarinah (Persero);PT Sarinah (Persero);Rugi;2019;0.527944087;0;0.345525789;1.542047264;0.025351273;1;0.056967352;0.412277977;0.557874425;0.358099739;0.01726403;0.016353792;0.940192993;2.247119935;0.94727549;0;0;0;0
206;PT Perusahaan Perdagangan Indonesia (Persero);PT Perusahaan Perdagangan Indonesia (Persero);Rugi;2019;0.535876332;0;0.348905912;0.151372865;0.073815597;1;0.033463807;0.330095307;0.571265473;0.363570195;0.002195783;0.000891927;0.284944828;0.453343306;0.40619986;0;0;0;0
207;PT Bhanda Ghara Reksa (Persero);PT Bhanda Ghara Reksa (Persero);Untung;2019;0.803934243;0;0.445656069;0.075125521;0.050480656;1;0.064479209;0.690701109;1.044185412;0.510807055;0.054068127;0.063112084;0.667793305;1.277305283;1.167269647;0;0;0;0
208;PT Pos Indonesia (Persero);PT Pos Indonesia (Persero);Untung;2019;1.194787354;0;0.544374995;0.206662171;0.024402091;1;0.01443323;0.978621069;1.377246652;0.579345364;0.082036059;0.045124593;0.98321581;0.591475139;0.550058024;0;0;0;0
209;PT Perusahaan  Listrik Negara (Persero);PT Perusahaan Listrik Negara (Persero);Untung;2019;0.624915556;0;0.409749227;0.091713649;0.000652658;1;0.000155533;1.749698884;0.535463725;0.348730951;0.014709717;0.003317047;1.482715714;0.238306787;0.225500379;0;0.14635972;0.061406492;0.326835223
210;PT Kawasan Berikat Nusantara (Persero);PT Kawasan Berikat Nusantara (Persero);Untung;2019;0.436514306;0;0.30387049;-0.085471373;0.230541908;1;0.069163754;0.839915092;0.441381519;0.306221159;0.229563993;0.080871393;0.762340183;0.300005125;0.352282566;0;0;0;0
211;PT Kawasan Industri Wijayakusuma (Persero);PT Kawasan Industri Wijayakusuma (Persero);Untung;2019;0.295798053;0;0.228274809;0.237775718;0.460313003;1;0.16959994;0.363151694;0.242838467;0.195390208;0.510775907;0.193934401;0.46572797;0.368444817;0.379685881;0;0;0;0
212;PT Kawasan Industri Medan (Persero);PT Kawasan Industri Medan (Persero);Untung;2019;0.177669217;0;0.150865128;0.604237034;0.264343616;1;0.126524284;0.160290755;0.110162311;0.099230815;0.31386696;0.113068939;0.14377948;0.478635672;0.360244795;0;0;0;0
213;PT Kawasan Industri Makassar (Persero);PT Kawasan Industri Makassar (Persero);Untung;2019;0.873536825;0;0.46625015;1.21807403;0.46029678;1;0.14759013;0.581907961;0.440611831;0.305850488;0.361395606;0.092134345;0.286651107;0.320641239;0.254940412;0;0;0;0
214;Perum Percetakan  Negara Republik Indonesia;Perum Percetakan Negara Republik Indonesia;Untung;2019;2.411256942;0;0.706852923;0.260136878;0.030339637;0;0.014524919;0.509732667;1.659024;0.623261355;0.028130397;0.014058335;0.709399141;0.478743982;0.499755998;0;0;0;0
215;Perum Percetakan Uang Republik Indonesia;Perum Percetakan Uang Republik Indonesia;Untung;2019;1.010752804;0;0.502673825;-0.081033366;0.089952595;0;0.056877885;0.505995465;0.979312133;0.494773975;0.11679022;0.087075259;0.436368093;0.632309551;0.745569781;0;0;0;0
216;Perum Produksi  Film Negara;Perum Produksi Film Negara;Untung;2019;1.02122824;0;0.505251322;0.36839207;0.237737536;0;0.127204;1.616076104;1.369068541;0.577893175;0.058002937;0.026046818;3.362372717;0.535060647;0.449060336;0;0;0;0
218;PT Semen Indonesia (Persero) Tbk;PT Semen Indonesia (Persero) Tbk;Untung;2019;0.562665795;0;0.360067902;0.103329141;0.10055206;1;0.060319623;0.512431185;0.608575162;0.378331816;0.07345404;0.041725487;0.637856285;0.59988451;0.5680489;0;0;0;0
219;PT Semen Baturaja (Persero) Tbk;PT Semen Baturaja (Persero) Tbk;Untung;2019;0.594301533;0;0.37276608;0.28635246;0.038117394;1;0.013736713;0.468522722;0.482726218;0.325566657;0.094518619;0.028979888;0.595253479;0.360379113;0.306605074;0;0;0;0
220;PT Semen Kupang (Persero);PT Semen Kupang (Persero);Untung;2019;44.49165176;0;0.978017945;-0.057622957;0.447239863;1;0.009000256;2.072156738;75.80108545;0.986979351;0.398680273;0.008539101;2.091918337;0.020124001;0.021418418;0;0;0;0
221;PT Balai Pustaka (Persero);PT Balai Pustaka (Persero);Untung;2019;1.608478907;0;0.616634815;1.251707034;0.049661732;1;0.017306117;1.149093929;1.478451719;0.596520187;0.065687068;0.011210921;1.217423761;0.348479933;0.170671663;0;0;0;0
222;PT Telekomunikasi Indonesia (Persero) Tbk;PT Telekomunikasi Indonesia (Persero) Tbk;Untung;2019;0.757806706;0;0.356335984;0.033900948;0.203455401;1;0.108147869;1.069173523;0.770123963;0.435067814;0.254966629;0.164753834;0.954058998;0.531555655;0.646178029;0;0;0;0
223;PT PAL Indonesia  (Persero);PT PAL Indonesia (Persero);Untung;2019;22.44071517;0;0.957339186;0.262736909;-0.192280703;1;-0.049709227;0.650514558;8.975879184;0.899758209;0.000375988;7.7393E-05;0.54612254;0.258524261;0.20583865;0;0;0;0
224;PT Industri Kapal Indonesia (Persero);PT Industri Kapal Indonesia (Persero);Untung;2019;0.751480162;0;0.429054338;-0.279970411;0.100094932;1;0.020232262;0.520962362;0.826758545;0.452582279;0.109839228;0.031030729;0.278708321;0.202130736;0.282510446;0;0;0;0
225;PT Dok dan Perkapalan Kodja Bahari (Persero);PT Dok dan Perkapalan Kodja Bahari (Persero);Rugi;2019;-3.279157057;1;1.438758705;-0.087795629;-0.63800303;1;-0.107691178;2.888693665;-2.378804814;1.725265817;-0.018712956;-0.004302898;2.398769889;0.168794149;0.229942165;0;0;0;0
226;PT Dok dan Perkapalan Surabaya (Persero);PT Dok dan Perkapalan Surabaya (Persero);Untung;2019;-3.341788518;1;1.427024043;0.225579941;0.019933041;1;0.003964806;1.591897908;-2.662292227;1.601578943;-0.714293837;-0.136175671;2.036218304;0.198906218;0.190643771;0;0;0;0
227;PT Indonesia  Asahan  Aluminium (Persero);PT Indonesia Asahan Aluminium (Persero);Untung;2019;1.180193885;0;0.541325197;0.383457051;0.164179291;1;0.064686666;0.442523641;0.412643234;0.292107182;0.14422508;0.07298168;0.403751939;0.394000154;0.506026276;0;0;0;0
228;PT Krakatau Steel (Persero) Tbk;PT Krakatau Steel (Persero) Tbk;Rugi;2019;1.387671946;0;0.581181995;0.27780859;-0.044358401;1;-0.017660578;1.615280138;1.220620698;0.549675448;-0.059417386;-0.02067253;1.332983262;0.398133775;0.347920557;0;0;0;0
229;PT Boma Bisma Indra (Persero);PT Boma Bisma Indra (Persero);Untung;2019;2.649264465;0;0.725972176;0.294111619;0.030693972;1;0.012537871;0.949299034;2.250947513;0.692398312;0.006930186;0.00248113;1.304412879;0.408479894;0.358017814;0;0;0;0
230;PT Industri Nuklir Indonesia (Persero);PT Industri Nuklir Indonesia (Persero);Untung;2019;15.0964404;0;0.937874463;-0.050494492;0.027182657;1;0.016508524;0.545795714;22.93066516;0.958235183;0.012744231;0.007467257;0.733849841;0.607318265;0.585932347;0;0;0;0
231;PT Industri Telekomunikasi Indonesia (Persero);PT Industri Telekomunikasi Indonesia (Persero);Rugi;2019;7.257881363;0;0.878903564;-0.352205276;0.000546148;1;0.000253051;1.520876758;8.459378485;0.894284809;0.005051655;0.003261496;1.471103562;0.463337185;0.645629171;0;0;0;0
232;PT Barata Indonesia (Persero);PT Barata Indonesia (Persero);Untung;2019;2.805244242;0;0.737204779;0.824300644;0.031148479;1;0.014911283;0.794942665;1.919063099;0.657424329;0.043254835;0.017680929;0.641801128;0.478716232;0.408761917;0;0;0;0
233;PT Dahana (Persero);PT Dahana (Persero);Untung;2019;0.90675958;0;0.475550032;0.278778716;0.067568249;1;0.074621586;0.680162161;0.862509861;0.463090091;0.080788992;0.083948638;0.687081945;1.104388339;1.039109859;0;0;0;0
234;PT LEN Industri (Persero);PT LEN Industri (Persero);Untung;2019;5.721084733;0;0.851214493;0.255054631;0.032123623;1;0.0279419;0.910236817;5.943579871;0.85598207;0.028628703;0.022387349;0.95592493;0.869824067;0.781989623;0;0;0;0
235;PT Pindad (Persero);PT Pindad (Persero);Untung;2019;3.700748313;0;0.787267913;0.303229965;0.031421817;1;0.015585548;0.617187184;3.571133365;0.781235873;0.037483419;0.015443003;0.56619777;0.496010405;0.411995568;0;0;0;0
236;PT Dirgantara Indonesia (Persero);PT Dirgantara Indonesia (Persero);Untung;2019;2.770173645;0;0.734760227;-0.426259949;-0.169398498;1;-0.042277965;0.791336452;2.572199687;0.720060389;0.012051944;0.005080493;0.732221507;0.249576974;0.421549646;0;0;0;0
237;PT Adhi Karya (Persero) Tbk;PT Adhi Karya (Persero) Tbk;Untung;2019;3.791935019;0;0.791316035;0.017441795;0.041201433;1;0.02141629;0.745758713;3.826805558;0.792823641;0.033603429;0.018249425;0.710513448;0.519794785;0.543082209;0;0;0;0
238;PT Amarta Karya (Persero);PT Amarta Karya (Persero);Untung;2019;4.555804534;0;0.820008067;2.250557127;0.012920927;1;0.008618519;0.756624613;2.81655094;0.737983322;0.008346521;0.002897167;0.577077313;0.66702013;0.34711076;0;0;0;0
239;PT Brantas Abipraya (Persero);PT Brantas Abipraya (Persero);Untung;2019;2.366906758;0;0.702991478;0.148906708;0.07556312;1;0.06737962;0.772767689;3.084566658;0.755175987;0.065901681;0.062846714;0.79540766;0.891699817;0.953643561;0;0;0;0
240;PT Jasa Marga (Persero) Tbk;PT Jasa Marga (Persero) Tbk;Untung;2019;3.080333538;0;0.754921996;0.053626709;0.05507889;1;0.024709119;2.630933964;3.313463428;0.768167734;0.059661584;0.026437463;1.316577365;0.448613238;0.443123718;0;0;0;0
241;PT Waskita Karya (Persero) Tbk;PT Waskita Karya (Persero) Tbk;Untung;2019;3.306126419;0;0.767772726;0.079093647;0.094684717;1;0.037137304;0.847894653;3.302197929;0.767560671;0.092928615;0.042918835;0.997752704;0.392220681;0.461847352;0;0;0;0
242;PT Wijaya Karya (Persero) Tbk;PT Wijaya Karya (Persero) Tbk;Untung;2019;2.440541227;0;0.709348055;0.190316064;0.066541086;1;0.03500422;0.648642642;2.122219887;0.679715078;0.051806774;0.029684829;0.744071516;0.526054237;0.572991255;0;0;0;0
243;PT Hutama Karya (Persero);PT Hutama Karya (Persero);Untung;2019;5.078930839;0;0.835497388;0.457950374;0.085107395;1;0.035275125;1.143381891;4.701010218;0.824592491;0.058386446;0.021988054;0.924067671;0.414477791;0.376595181;0;0;0;1.177820898
244;PT Pembangunan Perumahan (Persero) Tbk;PT Pembangunan Perumahan (Persero) Tbk;Untung;2019;2.22078945;0;0.689517115;0.168228828;0.077986756;1;0.037279251;0.706627157;1.933543306;0.659115294;0.080170782;0.041257498;0.692119818;0.478020282;0.514620125;0;0;0;0
245;Perum Perumnas;Perum Perumnas;Rugi;2019;1.964452431;0;0.662669574;0.14106589;0.114645182;0;0.030460797;0.596263188;1.614505114;0.617518438;0.099845982;0.029178101;0.3192335;0.265696268;0.2922311;0;0;0;0
246;PT Industri Kereta Api (Persero);PT Industri Kereta Api (Persero);Untung;2019;2.984610823;0;0.749034462;0.261891289;0.027474524;1;0.014283324;0.812698889;3.024031489;0.751492998;0.028273762;0.012343473;0.66914657;0.519875207;0.436569885;0;0;0;0
247;PT PDI Pulau Batam (Persero);PT PDI Pulau Batam (Persero);Rugi;2019;0.718488286;0;0.418093211;0.047043971;0.05576621;1;0.036139128;0.23729464;0.589593851;0.370908488;0.005099752;0.003638217;0.235652695;0.648047048;0.713410443;0;0;0;0
248;PT Pelabuhan  Indonesia I (Persero);PT Pelabuhan Indonesia I (Persero);Untung;2019;1.163853134;0;0.537861427;0.131738242;0.290625152;1;0.064537514;1.020888694;0.734656492;0.423517037;0.29266219;0.094643407;0.825118078;0.222064449;0.323387887;0;0;0;0
249;PT Pelabuhan  Indonesia II (Persero);PT Pelabuhan Indonesia II (Persero);Untung;2019;2.129575874;0;0.680467884;0.086547571;0.198939137;1;0.047259849;0.223919474;2.385457887;0.704618996;0.196149673;0.046711624;0.213313641;0.237559334;0.238142758;0;0;0;0
250;PT Pelabuhan Indonesia III (Persero);PT Pelabuhan Indonesia III (Persero);Untung;2019;1.945899661;0;0.660545125;0.20083259;0.128530678;1;0.045414538;0.553053605;1.313292913;0.56771579;0.226614103;0.080054889;0.755806827;0.353336175;0.353265257;0;0;0;0
251;PT Pelabuhan Indonesia IV (Persero);PT Pelabuhan Indonesia IV (Persero);Untung;2019;0.733986999;0;0.423294407;0.407941597;0.098675993;1;0.031446806;0.473388946;0.429352769;0.300382647;0.182519253;0.051371572;0.395086286;0.318687502;0.281458373;0;0;0;0
252;PT Indah Karya (Persero);PT Indah Karya (Persero);Untung;2019;2.037633475;0;0.670796359;0.865217723;0.116257548;1;0.044828586;0.602818734;1.871240351;0.651718464;0.182112953;0.045473271;0.407068082;0.385597205;0.24969817;0;0;0;0
253;PT Bina Karya (Persero);PT Bina Karya (Persero);Untung;2019;2.055918166;0;0.672766106;0.017603742;0.128011965;1;0.081512605;0.781501412;2.546392652;0.718023327;0.131261471;0.09613698;0.760021328;0.636757703;0.732408219;0;0;0;0
254;Perum Damri;Perum Damri;Untung;2019;0.571346834;0;0.363603262;0.07144168;0.017421333;0;0.018516976;0.660054829;0.590337586;0.371202687;0.006184467;0.005887632;0.946810919;1.062890905;0.952003105;0;0;0;0
255;Perum Pengangkutan Penumpang Djakarta;Perum Pengangkutan Penumpang Djakarta;Untung;2019;5.624970325;0;0.849055928;0.287457484;0.040547368;0;0.04339866;1.481284667;9.482916076;0.904606696;0.015019828;0.014393109;1.196563836;1.070320033;0.958273878;0;0;0;0
256;Perum Lembaga Penyelenggara Pelayanan Navigasi Penerbangan Indonesia;Perum Lembaga Penyelenggara Pelayanan Navigasi Penerbangan Indonesia;Untung;2019;0.209749864;0;0.173382837;0.175643152;0.11644511;0;0.067811055;0.263293955;0.220287484;0.180520938;0.173165721;0.092636765;0.292914669;0.582343519;0.534960179;0;0;0;0
257;PT Angkasa Pura I (Persero);PT Angkasa Pura I (Persero);Untung;2019;1.099949742;0;0.523798127;0.184414071;0.235406351;1;0.063460512;1.488579752;0.869334246;0.46505019;0.19742623;0.056696622;0.723762808;0.26957859;0.287178771;0;0;0;0
258;PT Angkasa  Pura II (Persero);PT Angkasa Pura II (Persero);Untung;2019;0.631064068;0;0.386903299;0.169714522;0.201494805;1;0.049623873;0.87091037;0.481611828;0.325059394;0.247812131;0.061553918;0.557649158;0.246278674;0.248389446;0;0;0;0
259;PT Virama Karya (Persero);PT Virama Karya (Persero);Untung;2019;1.207032497;0;0.546902911;0.302736186;0.083124396;1;0.097497666;0.687100917;1.369203587;0.577917235;0.082488579;0.086278301;0.791798494;1.172912776;1.045942385;0;0;0;0
260;PT Yodya Karya (Persero);PT Yodya Karya (Persero);Untung;2019;1.233601526;0;0.552292569;0.758058959;0.234568352;1;0.245836085;0.661885426;3.649846255;0.784939126;0.081842685;0.050231245;0.376184573;1.048036034;0.61375363;0;0;0;0
261;PT Indra Karya (Persero);PT Indra Karya (Persero);Untung;2019;1.486317521;0;0.597798756;0.388022312;0.060262056;1;0.055235123;0.812916162;1.449395477;0.591732249;0.03529677;0.026784017;0.931984079;0.916582117;0.758823455;0;0;0;0
267;PT ASABRI (Persero);PT ASABRI (Persero);Rugi;2019;29.20572424;0;0.966893692;-0.454791596;0.041988855;1;0.002287096;0.114852991;16.9330799;0.944237151;0.174339628;0.018683515;0.103485893;0.054469121;0.107167345;0;0;0;0
274;PT Garuda Indonesia (Persero) Tbk;PT Garuda Indonesia (Persero) Tbk;Untung;2019;3.803027335;0;0.791797979;0.114309244;0.001147523;1;0.001129293;1.806309719;3.014310085;0.750891207;-0.051082835;-0.056016524;1.947669036;0.984113308;1.096582116;0;0;0;0
275;PT Pelayaran Nasional Indonesia (Persero);PT Pelayaran Nasional Indonesia (Persero);Untung;2019;0.113487205;0;0.101920529;-0.058896601;0.044450269;1;0.031115367;0.154102777;0.161662117;0.139164491;0.064861844;0.047131869;0.263746084;0.700004023;0.726650165;0;0.523369172;0;0
276;PT Kereta Api Indonesia (Persero);PT Kereta Api Indonesia (Persero);Untung;2019;1.130909388;0;0.530716789;0.497522239;0.057161339;1;0.039378205;0.810170105;1.560220015;0.609408569;0.095898289;0.05129394;0.53388391;0.688895785;0.534878581;0;7.64518E-05;0;1.131593784
278;PT Biro Klasifikasi Indonesia (Persero);PT Biro Klasifikasi Indonesia (Persero);Untung;2019;0.346831618;0;0.257516689;0.177334012;0.091617233;1;0.088397107;0.228870451;0.284662085;0.221585482;0.06180826;0.056192744;0.277169523;0.964852395;0.909146186;0;0;0;0
280;PT Kliring Berjangka  Indonesia  (Persero);PT Kliring Berjangka Indonesia (Persero);Untung;2019;4.914606926;0;0.830927057;0.679116866;0.388800226;1;0.014653233;0.833226479;4.344279799;0.812884048;0.24649023;0.006655772;0.817429694;0.037688335;0.027002175;0;0;0;0
283;PT Pegadaian (Persero);PT Pegadaian (Persero);Untung;2019;1.624274445;0;0.618942294;0.08948809;0.242094308;1;0.052574702;0.552626368;1.673607735;0.625973554;0.238865959;0.051626374;0.60811208;0.217166206;0.216131146;0;0;0;0
284;PT Sucofindo (Persero);PT Sucofindo (Persero);Untung;2019;0.39732589;0;0.284347333;0.262209738;0.105043206;1;0.084102265;0.339682288;0.37811967;0.274373611;0.106617142;0.077020083;0.300026754;0.800644503;0.722398683;0;0;0;0
285;PT Surveyor Indonesia (Persero);PT Surveyor Indonesia (Persero);Untung;2019;0.377367148;0;0.273977166;0.176887693;0.095932751;1;0.086280425;0.374713508;0.313711952;0.238798126;0.09130424;0.081631153;0.312871746;0.89938445;0.894056548;0;0;0;0
286;PT ASDP Indonesia Ferry (Persero);PT ASDP Indonesia Ferry (Persero);Untung;2019;0.175952085;0;0.149625216;0.072777715;0.091298576;1;0.034930405;0.457849674;0.093239934;0.085287713;0.103165651;0.041902031;0.200255668;0.382595289;0.406162616;0;0;0;0
287;PT Djakarta  Lloyd (Persero);PT Djakarta Lloyd (Persero);Untung;2019;0.997796148;0;0.499448429;1.08197335;0.109142505;1;0.065028077;0.428293585;1.122368226;0.528828227;0.13671862;0.042268031;0.467972135;0.59580891;0.309160747;0;0;0;0
288;PT Perusahaan Pengelola Aset (Persero);PT Perusahaan Pengelola Aset (Persero);Untung;2019;1.231927979;0;0.551956869;0.07367242;0.062837037;1;0.036510704;0.747274281;1.012949045;0.503216436;0.051368389;0.034438009;0.615262867;0.581037968;0.670412478;0;0;0;0
289;PT Iglas (Persero);PT Iglas (Persero);Rugi;2019;-1.133765254;1;8.475842554;-0.163636364;-122.6347826;1;-0.595616184;63.84655355;-1.122633277;9.154393546;-67.21939394;-0.46263838;55.34234416;0.004856829;0.006882513;0;0;0;0
290;PT Industri Sandang Nusantara (Persero);PT Industri Sandang Nusantara (Persero);Rugi;2019;1.725211317;0;0.633055979;5.732870898;0.002109705;1;0.001096209;1.664348754;1.016409548;0.504069002;2.128750388;0.20361447;3.060722139;0.519603128;0.095649763;0;0;0;0
291;PT Primissima (Persero);PT Primissima (Persero);Rugi;2019;3.525050763;0;0.779008004;0.527850182;0.006199956;1;0.005442099;1.579703879;9.399755181;0.903836291;0.012378868;0.01145927;1.894024916;0.877764096;0.925712316;0;0;0;0
292;PT Survai Udara Penas (Persero);PT Survai Udara Penas (Persero);Rugi;2019;-2.201821921;1;1.832070029;1.339897186;0.040253212;1;0.01528693;1.308955889;-1.425380763;3.350835033;-0.081597979;-0.037823866;37.62321145;0.379769211;0.463539248;0;0;0;0
293;PT Varuna Tirta Prakasya (Persero);PT Varuna Tirta Prakasya (Persero);Rugi;2019;-69.60731949;1;1.014575704;-0.04793791;-0.041803634;1;-0.095888239;0.872399393;14.00088637;0.933337273;-0.039380775;-0.077771212;0.802038477;2.293777573;1.974852281;0;0;0;0
295;PT Kertas Leces (Persero);PT Kertas Leces (Persero);Untung;2019;-2.132301248;1;1.883157201;-0.989657574;3.021122112;1;0.006532897;180.9058804;-3.631989387;1.379940742;-0.453482974;-0.067775651;14.57374135;0.002162408;0.149455779;0;0;0;0
525;Perum Perhutani;Perum Perhutani;Untung;2021;1.625779183;0;0.619160664;5.667956446;-0.029641359;0;-0.037933984;0.828572469;0.445644517;0.308267013;0.108556936;0.02731308;0.427051843;1.27976532;0.251601423;0;0;0;0
